Speaker Name,Speaker Title,Speaker Description
Ishita Chaudhary,"Founder & CEO, The YP Foundation","Ishita Chaudhry is the Founder & CEO of The YP Foundation (TYPF). TYPF enables young people to create programmes and influence policies in health, education, gender, sexuality, and the arts and governance, reaching out to 300,000 young people in India. Ishita works with youth communities on developing leadership skills and enabling their access to sexuality education. She has received the ChangeLooms Award (Ashoka Foundation 2008), Seen&Heard British Telecom Award 2008, Karamveer Puruskaar 2007 and the President of Nepal’s Young Achiever’s Award, 2009."
Chakshu Roy,Political Technologist,"Chakshu Roy heads technology initiatives at PRS Legislative Research (PRS), New Delhi.  PRS is a unique initiative that provides non-partisan analysis to all Members of Parliament in India.  Chakshu is developing a comprehensive technology strategy to engage large sections of the population in the policy process.  He has conceptualised and developed India’s only online database of all state laws.  Chakshu has conducted capacity-building workshops for over 1000 journalists on tracking the work of legislators."
Lara Dutta,"Model, Actress, Producer",N/A
Nam Do,Serial Tech Entrepreneur,"Prior to forming Emotiv, Nam Do co-founded and ran SASme, a pioneer in providing SMPP platforms to telecommunication carriers and content aggregators in Australia and Asia. In 1995, Nam won one of Vietnam’s most prestigious study abroad scholarships. Nam came to Australia’s RMIT University under a full merit scholarship, and started his first technology company in his final year. A regular guest-lecturer at Harvard Business School, HAAS Business School and Stanford University, in 2007, Nam was voted as one of Australia’s Top 10 Digital Entrepreneurs."
Tom Wujec,Design Innovator,"Tom Wujec is a pioneer in business visualization, the emerging practice of using images, sketches and data-driven infographics to help teams solve complex problems. Tom�s work has been featured in many international conferences, such as TED, Pop!Tech and the Fortune Innovation Summit. Tom is also the author of three books on creative thinking and is a highly sought after international speaker, delivering visually rich innovation keynotes, workshops and knowledge maps. He has brought several software applications to market, including Autodesk SketchBook Pro, PortfolioWall, and Maya which won an Academy Award for its contribution to the film industry. Tom has worked as a creative director, writer and animator, has designed dozens of museum exhibits, and lives in Toronto with his wife and two children."
Simon Lewis,"Film Producer, Author","Simon Lewis is a film and television producer and author. After earning law degrees from Christ’s College Cambridge and Boalt Hall, Berkeley, Lewis moved to Los Angeles where his Hollywood experience includes managing writers, directors and stars as well as producing Look Who’s Talking (1989), The Chocolate War (1988), the Emmy award-winning international co-production for HBO and ITV Central Age Old Friends/A Month of Sundays (1988), and variety specials starring Howie Mandel."
Sandy Smolan,Documentary & TV Director,"Sandy Smolan is an award-winning director whose work spans features, documentaries and television. His debut feature film Rachel River was nominated for the Grand Jury Prize at Sundance. 12 Stones, his documentary about the transformation of a group of illiterate women in Southern Nepal, won the jury Prize in 2009 for Best Short Documentary at the Tallahassee and Newport Beach Film Festivals."
Rives,"Poet, Multi-Media Artist","Rives is a poet and multi-media artist from Los Angeles, who applies new technologies to ancient art forms. He has appeared on Romanian billboards, in Scottish pubs and inside a 1964 Cadillac with a supermodel for the Bravo TV special Ironic Iconic America. He is the co-host of the annual TEDActive conference and his hobby is rooftops. Offstage, Rives designs and writes pop-up books. He has appeared on multiple seasons of HBO�s Def Poetry Jam and was a member of the Def Poetry international tour group."
Philippe Starck,Creator,“I like to open the doors to people’s brain.”
Nancy Duarte,"Nancy Duarte CEO of Duarte Design, author","Since 1988, Nancy Duarte’s firm has created over a quarter of a million presentations. As one of the largest woman-owned businesses in Silicon Valley, her experience working with global companies and thought leaders has influenced the perception of some of the world’s most valuable brands and many of humanity’s common causes. Fascinated by presentations as the most powerful persuasive medium, Duarte determined to crack the code on why some presentations are riveting and others are unbearable. In Fall 2010 she released Resonate—Present Visual Stories that Transform Audiences which identifies hidden story structures inherent in great communication."
Michael Foley,Product designer,"If Michael Foley’s behind a product, expect a technological marvel that is strong on both form and functionality."
Mami Varte,Singer,"Mami is a well-known singer in Mizoram. Her debut album, Damlai Par, released in 2007, was rated as the top selling album of the year and led to a hat-trick of awards at the Mizoram Music Awards; Best Female Singer, Best Music Video and Song of the Year for the title track. Her following three singles reached the top 10 leading to another prestigious MMA in 2008. Mami recently released her new music video Hmangaihna Vanduai Maw with her second album to follow next year."
Leonie Casanova,Singer & Lyricist,"Leonie Casanova is a London-based singer and songwriter. Born and raised in Zambia to an Italian father and Zambian mother, and schooled in Swaziland, England and the USA where she studied Economics and French Literature, Leonie�s colourful and almost nomadic background has deeply informed her approach to songwriting and to the intrinsic and essential story-telling element of this process. Leonie crosses and fuses genres and musical textures fluidly which allows exploration of what she calls �an endless work playground�."
Jennifer Aaker,Professor,"A social psychologist and marketer, Jennifer Aaker is the General Atlantic Professor of Marketing at Stanford University’s Graduate School of Business. She is widely published in the leading scholarly journals in psychology and marketing, and her work has been featured in a variety of media, including The Economist, NYTimes, WSJ, Washington Post, BusinessWeek, Forbes, and Science. A sought-after teacher in the field of marketing, Professor Aaker teaches courses, including ‘Designing Happiness’, ‘How to Tell a Story’, ‘Building Innovative Brands’, and ‘The Power of Social Technology’."
James Cameron,"Film maker, Inventor","James Cameron has many avatars that allow him to be a film director, producer, screenwriter, editor and inventor. His writing and directing work includes The Terminator (1984), Aliens (1986), The Abyss (1989), True Lies (1994), Titanic (1997), and Avatar (2009). In the time between making Titanic and his return to feature films with Avatar, Cameron spent some years creating documentary films and also co-developing the digital 3-D Fusion Camera System. Cameron has also worked extensively in deep ocean exploration, diving to extreme depths with his own submersibles, robotics and camera systems."
Dinh Thi Hoa,Entrepreneur,"Dinh Thi Hoa grew-up in communist North Vietnam during the Vietnam War. She went to university in Moscow and later returned to Vietnam to join the Foreign Service of the Vietnamese government. In 1990, she was chosen as the first Vietnamese to receive the World Bank scholarship to study at Harvard Business School. She returned to Vietnam in 1994. Hoa has been nicknamed “a serial entrepreneur” because she is the founder/manager of number of successful businesses in Vietnam, including Galaxy, the Paris Deli cafe chain, and Thienviet Securities among several others. She also supports education and art non-profit projects."
Deepak Chopra,NYT best selling wellness author,New York Times bestselling author Deepak Chopra is acknowledged as one of the world’s greatest leaders in the field of mind body medicine.
Anita Goel,"Physicist, Physician, Nanotech Innovator","Dr. Anita Goel is the Founder, Chairman and Scientific Director of Nanobiosym, an innovation engine and hi-tech incubator at the convergence of physics, nanotechnology and biomedicine, and CEO of Nanobiosym Diagnostics to commercialize the Gene-RADAR technology platform to empower people worldwide with rapid, portable diagnostic information about their own health."
Corey Bridges,Video game Producer,"Responsible for strategic planning and game-creation at Multiverse, Corey is helping build a network of interactive entertainment, which includes casual games, Massively Multiplayer Online Games (MMOGs), and 3D virtual worlds. Over the past year, Corey has overseen development of games for McDonald’s and Coca-Cola, as well as the ground-breaking “Battle: Realms at War,” the world’s most extensive web-based MMOG."
Anil Ananthaswamy,"Author, New Scientist journalist","Anil Ananthaswamy is a consultant for New Scientist in London. He has worked at the magazine in various capacities since 2000, most recently as deputy news editor. He has also contributed to National Geographic News and The Independent (UK). He studied electronics,electrical and computer engineering at the Indian Institute of Technology, Madras (Bachelor of Technology), and the University of Washington, Seattle (Master of Science), and worked as a software engineer in Silicon Valley before training as a journalist at the University of California Santa Cruz. He is the author of The Edge of Physics, published by Houghton Mifflin Harcourt (published as The Edge of Reason by Penguin, India)."
Anand Kumar,"Founder, Super 30","Anand Kumar is ushering in a revolution in the hinterlands of India by equipping youth to dream big through his education initiative ‘Super 30’ in Patna, Bihar.  In 1994, he was admitted to Cambridge University but was unable to afford it after his father, a low paid postal employee, passed away.  In the last eight years of ‘Super 30’, Kumar, now a noted mathematics teacher, has coached a phenomenal 212 students, most first generation learners from rural, poor backgrounds, to pass the joint entrance test of the Indian Institute of Technology.  Time Magazine selected ‘Super 30’ in the Best of Asia 2010, and Discovery Channel made a documentary film on ‘Super 30’."
Zohre Elahian,Trailblazing Philanthropist,"Zohre Elahian has been actively involved in international development for over 10 years. With her husband, Zohre started Schools Online, a not-for-profit organization that has brought computers to schools and introduced ICT in education in many countries around the world and within the US. As the Managing Director of Global Catalyst Foundation, Zohre has also evaluated many projects, addressing critical needs in education, ICT and microfinance; and her Foundation has provided funding to such projects in many countries."
Wolfgang Lehmacher,Entrepreneur,N/A
Vineet Singal,"Executive Director, 100KCheeks campaign","Named by The Huffington Post as one of the “Top 10 Changemakers Under 40”, Vineet Singal is a senior at Stanford University and leads 100KCheeks, an initiative to register 100,000 new bone marrow donors using the power of personal stories and social media."
Vikram Bhaskaran,"Co-founder, Samosapedia",Vikram Bhaskaran is the CEO and Co-Founder of Samosa Media whose flagship product is Samosapedia: The Definitive Guide to South Asian Lingo.
Swanand Kirkire,"Writer, Song-Writer, Actor, Director","Swanand Kirkire has many strings to his bow, he is a writer, song-writer, actor, playwright and director in the Hindi film industry. Graduating from the National School of Drama in 1996 he soon moved into the world of television, and then, in 2003, progressed to film, making his debut as a lyricist & singer with Hazaaron Khwaishen Aisi."
Talavya,Classical Tabla ensemble,"Globe-trotting percussion ensemble Talavya bring tabla to the center stage, distilling its age-old classical spirit and practice into a high-energy, highly accessible performance. Composed by music maestro Pandit Divyang Vakil, the quartet of Rushi Vakil, Kaumil Shah, Sahil Patel and Rahul Shrimali with accompaniment by Heena Patel moves between rousing peaks and smooth meditative passages, revealing the colours of tabla."
Shoba Murali,Entrepreneur,"Shoba Murali, CEO and co-founder of The UCAN Company, helped shape the overall manufacturing, formulation, clinical trials and marketing strategy of the company. The company markets glucose sustaining consumer-based nutritional products in sports nutrition, fitness, weight management and diabetes markets."
Shirin Juwaley,Human rights activist,"An acid attack survivor herself, Shirin started the Palash Foundation to address social reintegration and livelihoods for people with disfigurement. In 1998, her husband threw acid on her after she requested divorce."
Sheena Iyengar,"Social Psychologist, Professor","Sheena Iyengar looks deeply at choosing and has discovered many surprising things about it. For instance, her famous “jam study,” done while she was a grad student, quantified a counterintuitive truth about decisionmaking — that when we’re presented with too many choices, like 24 varieties of jam, we tend not to choose anything at all. (This and subsequent, equally ingenious experiments have provided rich material for Malcolm Gladwell and other pop chroniclers of business and the human psyche.)"
Ruchi Sanghvi,"Entrepreneur, Technologist","Ruchi is the founder and CEO of Cove – a company she started with other early ex-Facebookers. Prior to starting her own company, Ruchi was the first female engineer at Facebook."
Robert Vijay Gupta,"Musical activist, Violinist",Violinist Robert Vijay Gupta joined the Los Angeles Philharmonic in June 2007 at the age of 19.
Rob Cook,Pixar Emeritus,"Rob Cook was the co-architect and primary author of Pixar’s RenderMan software, which creates photo-realistic computer images. In 2001, he and two colleagues received Oscars for their contributions, the first ever given for software."
Ramji Raghavan,Social Entrepreneur,"Mr. Raghavan is the Founder Chairman of Agastya International Foundation, the world’s largest hands-on mobile science education program for economically disadvantaged children and rural teachers."
Rajika Puri,"Danced storyteller, choreographer, writer","Rajika Puri is an exponent of two forms of Indian dance – Bharatanatyam and Odissi – which for several years she performed internationally in solo recital (including a command performance for the President of Mexico). After playing ‘Narrator/goddess Kali’ in The Transposed Heads directed by Julie Taymor (Lincoln Center Theater, ’86), she developed a form of danced storytelling in which she accompanies her dances with songs, chants, vocalized rhythmic syllables, and a narrative in English. An evening of such stories, commissioned by the Rubin Museum of Art, was also presented off-Broadway: Devi-Malika: a garland of danced stories on the feminine divine in India (Duke on 42nd, ’08)."
Prakash Amte,Social Activist,"Magsaysay Awardee Prakash Amte runs Lok Biradari Prakalp to provide community services to tribal people in rural Maharashtra, Andhra Pradesh and Chhatisgarh. The project has grown into a hospital, residential school and an orphanage for injured wild animals."
N.V. ‘Tiger’ Tyagarajan,Visionary,"Tiger is one of the pioneers of the business process management industry who transformed Genpact from a unit of GE in 1997 into a leading global business process and technology management services company. Tiger began his career with the Unilever Group in India where he spent seven years in sales and marketing. He then shifted to the financial services industry and spent three years with Citibank’s Consumer Financial Services businesses, where he earned a reputation for turning around inefficient businesses. He joined GE Capital in 1994 as Head of Risk in India and went on to become CEO for GE Capital’s Global Consumer Finance and Auto Financial Services operations in India. In 2002, he was transferred within GE to the Global Commercial Lending Businesses in the U.S. as Global Head of Six Sigma and Global Operations. Tiger rejoined Genpact in 2005 and became President and CEO in June 2011."
Michael Pollack,Venture philanthropist,"Michael Pollack manages his family investment firm, Pollack Holdings, which has interests in a broad array of both public and private securities. He also established and now runs his private, family foundation, SCA."
Lisa Staprans,Designer,"Lisa Staprans has practiced interior design and product design for 20 years. She travels the world for inspiration and to learn and study other cultures, art, architecture and lifestyles. The book she is currently writing, The Soul of Design, features art, interior design, architecture, gardens, and other soulful spaces around the world."
Julie Taymor,"Film, Opera, & Theater Director","Julie Taymor is an American film, opera and theater director."
Joi,Music band,
